driver_id,oldest_ride,latest_ride,retention_period,retention_int
002be0ffdc997bd5c50703158b7c2491,2016-03-29,2016-06-23,86 days 00:00:00.000000000,86
007f0389f9c7b03ef97098422f902e62,2016-03-29,2016-06-22,85 days 00:00:00.000000000,85
011e5c5dfc5c2c92501b8b24d47509bc,2016-04-05,2016-06-12,68 days 00:00:00.000000000,68
0152a2f305e71d26cc964f8d4411add9,2016-04-25,2016-06-26,62 days 00:00:00.000000000,62
01674381af7edd264113d4e6ed55ecda,2016-04-29,2016-06-24,56 days 00:00:00.000000000,56
0213f8b59219e32142711992ca4ec01f,2016-04-07,2016-05-07,30 days 00:00:00.000000000,30
021e5cd15ef0bb3ec20a12af99e142b3,2016-05-07,2016-06-25,49 days 00:00:00.000000000,49
0258e250ca195cc6258cbdc75aecd853,2016-04-26,2016-06-26,61 days 00:00:00.000000000,61
028b5a4dcd7f4924ebfabcf2e814c014,2016-05-06,2016-06-26,51 days 00:00:00.000000000,51
02d6a6b8a6da15fc219a9570f7ebbe78,2016-05-03,2016-06-23,51 days 00:00:00.000000000,51
02e440f6c209206375833cef02e0cbae,2016-03-31,2016-05-18,48 days 00:00:00.000000000,48
036f3d94e7c65e4e3574822d31c72656,2016-04-10,2016-06-24,75 days 00:00:00.000000000,75
039c5afbca8e03e4c18d9c8ea94140ac,2016-04-12,2016-06-12,61 days 00:00:00.000000000,61
039da9c077e17af98ca8530e4d7975f1,2016-05-04,2016-06-26,53 days 00:00:00.000000000,53
03f2b5c74cb89f39e58711699e76bf39,2016-04-10,2016-06-25,76 days 00:00:00.000000000,76
03f5278eb43475aa6790f5be32463755,2016-04-12,2016-06-24,73 days 00:00:00.000000000,73
0430df9a3eb327122c57ee3a64765000,2016-04-05,2016-04-13,8 days 00:00:00.000000000,8
04c4ffa5a385eab86fa7e422263d2999,2016-04-07,2016-05-07,30 days 00:00:00.000000000,30
04d686ef2fba281e395992a28f14fdd3,2016-05-14,2016-06-24,41 days 00:00:00.000000000,41
052bba06c5fc0bdea4bc2f9cb92b37c7,2016-04-15,2016-06-20,66 days 00:00:00.000000000,66
059ed570673c2d15ca11dd6b3a25513b,2016-05-12,2016-06-20,39 days 00:00:00.000000000,39
05addf442c147875efa5cf53453ad47b,2016-04-08,2016-06-26,79 days 00:00:00.000000000,79
05bad02e08c7f849e91dc1259da8b4ec,2016-05-12,2016-06-12,31 days 00:00:00.000000000,31
0656192a402808805282e60761bda088,2016-04-30,2016-06-26,57 days 00:00:00.000000000,57
06b1ba06e5505f8218ec8686498f990a,2016-05-11,2016-05-24,13 days 00:00:00.000000000,13
06c848ab3a7fc5421e82e98850a81710,2016-04-20,2016-06-26,67 days 00:00:00.000000000,67
07dd442e3e0b9f0f9b0d69c7b47cbb06,2016-04-08,2016-06-21,74 days 00:00:00.000000000,74
07e6a2fdaadc640cca9a7bec41351065,2016-05-14,2016-06-19,36 days 00:00:00.000000000,36
